epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.90014,1.01408,0.475,1,1.06424,0.00032867,0.00032867,0.00032867
2,4.83826,0.70639,0.55,1,0.93401,0.000668305,0.000668305,0.000668305
3,6.75005,0.37566,0.875,1,0.15033,0.00100455,0.00100455,0.00100455
4,8.75328,0.22417,0.95,1,0.06363,0.00133739,0.00133739,0.00133739
5,10.5594,0.19439,0.875,1,0.31489,0.00140071,0.00140071,0.00140071
6,12.4409,0.14268,0.95,1,0.11927,0.00139363,0.00139363,0.00139363
7,16.6097,0.14604,0.95,1,0.13284,0.00138656,0.00138656,0.00138656
8,18.6205,0.14872,1,1,0.04256,0.00137949,0.00137949,0.00137949
9,20.4368,0.21979,0.975,1,0.03892,0.00137241,0.00137241,0.00137241
10,21.4105,0.21093,0.925,1,0.17671,0.00136534,0.00136534,0.00136534
11,23.0922,0.19233,0.925,1,0.11827,0.00135826,0.00135826,0.00135826
12,24.7709,0.10295,0.95,1,0.06394,0.00135119,0.00135119,0.00135119
13,26.4424,0.141,0.85,1,0.26836,0.00134412,0.00134412,0.00134412
14,28.1482,0.12458,0.95,1,0.11839,0.00133704,0.00133704,0.00133704
15,29.866,0.1318,0.975,1,0.20164,0.00132997,0.00132997,0.00132997
16,31.5522,0.08678,0.975,1,0.05254,0.0013229,0.0013229,0.0013229
17,33.2309,0.10329,1,1,0.05013,0.00131582,0.00131582,0.00131582
18,34.9273,0.14557,1,1,0.01904,0.00130875,0.00130875,0.00130875
19,36.6844,0.06265,1,1,0.05301,0.00130168,0.00130168,0.00130168
20,38.6167,0.07983,1,1,0.01507,0.0012946,0.0012946,0.0012946
21,40.5361,0.07424,1,1,0.01386,0.00128753,0.00128753,0.00128753
22,42.565,0.10973,1,1,0.01446,0.00128046,0.00128046,0.00128046
23,44.2839,0.10027,0.95,1,0.0828,0.00127338,0.00127338,0.00127338
24,45.9833,0.06158,0.975,1,0.05224,0.00126631,0.00126631,0.00126631
25,47.7956,0.07411,1,1,0.00555,0.00125923,0.00125923,0.00125923
26,49.723,0.08989,1,1,0.01077,0.00125216,0.00125216,0.00125216
27,51.541,0.07509,1,1,0.03502,0.00124509,0.00124509,0.00124509
28,52.6742,0.07367,1,1,0.01108,0.00123801,0.00123801,0.00123801
29,54.4002,0.05379,1,1,0.002,0.00123094,0.00123094,0.00123094
30,56.0892,0.09492,1,1,0.00084,0.00122387,0.00122387,0.00122387
31,57.7919,0.0695,1,1,0.04945,0.00121679,0.00121679,0.00121679
32,59.4557,0.07794,1,1,0.00149,0.00120972,0.00120972,0.00120972
33,61.1179,0.06999,1,1,0.003,0.00120265,0.00120265,0.00120265
34,62.8201,0.06115,1,1,0.01372,0.00119557,0.00119557,0.00119557
35,64.5073,0.06039,1,1,0.00548,0.0011885,0.0011885,0.0011885
36,66.2011,0.0505,0.975,1,0.02034,0.00118143,0.00118143,0.00118143
37,67.8219,0.0465,1,1,0.00465,0.00117435,0.00117435,0.00117435
38,69.5062,0.05057,1,1,0.00048,0.00116728,0.00116728,0.00116728
39,71.201,0.06716,1,1,0.00033,0.00116021,0.00116021,0.00116021
40,72.9045,0.05665,1,1,0.00759,0.00115313,0.00115313,0.00115313
41,74.599,0.06999,0.975,1,0.02489,0.00114606,0.00114606,0.00114606
42,76.2712,0.07808,1,1,0.00099,0.00113898,0.00113898,0.00113898
43,78.0279,0.1032,1,1,0.0008,0.00113191,0.00113191,0.00113191
44,79.6863,0.04918,1,1,0.00387,0.00112484,0.00112484,0.00112484
45,81.3236,0.08759,1,1,0.0202,0.00111776,0.00111776,0.00111776
46,83.018,0.06125,1,1,0.00287,0.00111069,0.00111069,0.00111069
47,83.9547,0.09197,1,1,0.00335,0.00110362,0.00110362,0.00110362
48,85.6238,0.05003,1,1,0.0199,0.00109654,0.00109654,0.00109654
49,87.2735,0.07185,0.975,1,0.01308,0.00108947,0.00108947,0.00108947
50,88.8657,0.04325,1,1,0.03116,0.0010824,0.0010824,0.0010824
51,90.5422,0.0309,0.95,1,0.09746,0.00107532,0.00107532,0.00107532
52,92.162,0.06707,1,1,0.00371,0.00106825,0.00106825,0.00106825
53,93.8368,0.03718,1,1,0.00042,0.00106118,0.00106118,0.00106118
54,95.4913,0.03469,1,1,0.00014,0.0010541,0.0010541,0.0010541
55,97.1616,0.04844,1,1,0.00032,0.00104703,0.00104703,0.00104703
56,98.816,0.03177,1,1,0.00341,0.00103995,0.00103995,0.00103995
57,100.477,0.04866,1,1,0.00038,0.00103288,0.00103288,0.00103288
58,102.234,0.09493,1,1,0.00017,0.00102581,0.00102581,0.00102581
59,103.918,0.04642,1,1,0.00023,0.00101873,0.00101873,0.00101873
60,105.596,0.05834,1,1,0.00286,0.00101166,0.00101166,0.00101166
61,107.338,0.05136,1,1,0.0011,0.00100459,0.00100459,0.00100459
62,109.026,0.04647,1,1,0.00182,0.000997513,0.000997513,0.000997513
63,110.778,0.07332,1,1,0.00359,0.00099044,0.00099044,0.00099044
64,112.594,0.08202,1,1,0.00371,0.000983366,0.000983366,0.000983366
65,114.338,0.06813,0.95,1,0.04422,0.000976293,0.000976293,0.000976293
66,115.302,0.05442,0.9,1,0.16732,0.000969219,0.000969219,0.000969219
67,117.056,0.07379,0.95,1,0.07397,0.000962146,0.000962146,0.000962146
68,118.808,0.04008,0.975,1,0.04666,0.000955072,0.000955072,0.000955072
69,120.569,0.05303,1,1,0.03704,0.000947999,0.000947999,0.000947999
70,122.228,0.03079,1,1,0.02564,0.000940925,0.000940925,0.000940925
71,123.982,0.04726,1,1,0.01778,0.000933851,0.000933851,0.000933851
72,125.618,0.06111,0.975,1,0.04256,0.000926778,0.000926778,0.000926778
73,127.233,0.05077,1,1,0.01067,0.000919704,0.000919704,0.000919704
74,128.885,0.03485,1,1,0.00584,0.000912631,0.000912631,0.000912631
75,130.544,0.02081,1,1,0.00609,0.000905557,0.000905557,0.000905557
