epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0349,1.88535,2.65622,1.56942,0.23498,0.40089,0.25842,0.10918,2.20136,8.0733,3.14868,0.000407197,0.000407197,0.000407197
2,41.1103,1.6914,1.96122,1.53105,0.52337,0.15848,0.15966,0.06354,2.47139,7.0254,3.23432,0.000815707,0.000815707,0.000815707
3,57.3415,1.70625,1.83767,1.51773,0.46736,0.21518,0.20064,0.09153,2.6247,3.5437,3.23287,0.00121597,0.00121597,0.00121597
4,77.1186,1.65982,1.64666,1.45538,0.41057,0.39955,0.18604,0.08247,2.3292,7.71571,3.22687,0.00121287,0.00121287,0.00121287
5,93.3811,1.59952,1.47933,1.43836,0.48428,0.37321,0.30135,0.12037,2.14996,6.13976,2.92721,0.0012005,0.0012005,0.0012005
6,113.245,1.60244,1.44556,1.44593,0.25259,0.36963,0.27596,0.13968,2.15637,4.63631,3.03919,0.00118812,0.00118812,0.00118812
7,129.459,1.59246,1.43142,1.46986,0.21229,0.70886,0.35964,0.17554,2.15294,3.86817,2.97288,0.00117575,0.00117575,0.00117575
8,149.292,1.55115,1.439,1.43385,0.35698,0.50625,0.38668,0.14486,2.4541,2.52614,3.32234,0.00116337,0.00116337,0.00116337
9,165.581,1.52799,1.31097,1.40901,0.62821,0.3942,0.41451,0.18495,2.26334,3.43433,2.94809,0.001151,0.001151,0.001151
10,185.438,1.5107,1.26568,1.35783,0.41564,0.5567,0.39502,0.18331,1.93144,3.39053,2.63106,0.00113863,0.00113863,0.00113863
11,201.652,1.55732,1.37336,1.42673,0.33606,0.58125,0.40747,0.19135,1.79496,3.51458,2.56486,0.00112625,0.00112625,0.00112625
12,221.508,1.48254,1.26165,1.38055,0.46737,0.46799,0.40144,0.20487,1.93859,2.90653,2.75699,0.00111388,0.00111388,0.00111388
13,237.9,1.49739,1.34938,1.44689,0.33473,0.63393,0.45464,0.21953,1.90625,2.91556,2.48962,0.0011015,0.0011015,0.0011015
14,258.462,1.49773,1.3393,1.42386,0.43674,0.4802,0.4647,0.2041,2.02405,2.7368,2.63748,0.00108913,0.00108913,0.00108913
15,274.745,1.47345,1.26521,1.40222,0.50483,0.51696,0.47513,0.24573,1.77396,2.36518,2.4764,0.00107675,0.00107675,0.00107675
16,294.593,1.45736,1.32872,1.40938,0.52722,0.49742,0.49788,0.25504,1.6426,2.45633,2.2815,0.00106437,0.00106437,0.00106437
17,311.287,1.40619,1.23579,1.3798,0.52349,0.49729,0.49202,0.23851,2.13721,2.95807,2.69344,0.001052,0.001052,0.001052
18,331.148,1.46429,1.15992,1.33606,0.454,0.65747,0.47362,0.22362,1.79383,2.48231,2.38599,0.00103962,0.00103962,0.00103962
19,347.438,1.4347,1.20107,1.36207,0.43559,0.64241,0.46172,0.20615,1.75359,2.47188,2.50594,0.00102725,0.00102725,0.00102725
20,367.253,1.37611,1.16379,1.34926,0.49994,0.66367,0.5071,0.23766,1.77135,2.5582,2.42707,0.00101488,0.00101488,0.00101488
21,383.474,1.39019,1.19785,1.36395,0.43183,0.4867,0.43589,0.23374,1.73734,2.67781,2.31314,0.0010025,0.0010025,0.0010025
22,403.29,1.34939,1.13031,1.30208,0.49377,0.54092,0.45709,0.23064,1.6488,2.46474,2.28821,0.000990125,0.000990125,0.000990125
23,419.506,1.32176,1.09156,1.31651,0.53783,0.71473,0.52707,0.24994,1.77726,2.67667,2.35765,0.00097775,0.00097775,0.00097775
24,439.295,1.37882,1.16167,1.38294,0.42857,0.74867,0.51465,0.24818,1.69535,2.33742,2.43401,0.000965375,0.000965375,0.000965375
25,455.738,1.37128,1.09593,1.30175,0.49228,0.53036,0.52553,0.22824,1.60686,2.60253,2.29817,0.000953,0.000953,0.000953
26,475.894,1.38492,1.10961,1.31686,0.57648,0.62232,0.52366,0.23158,1.69295,2.69832,2.3622,0.000940625,0.000940625,0.000940625
27,492.415,1.34345,1.10035,1.31778,0.59468,0.60089,0.54144,0.25682,1.81456,2.24465,2.5376,0.00092825,0.00092825,0.00092825
