epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,67.6206,1.34856,1.63284,1.42846,0.87035,0.83625,0.90133,0.59827,1.34219,2.03066,1.79412,0.000742625,0.000742625,0.000742625
43,69.1582,1.32814,1.6168,1.47279,0.82602,0.8848,0.89807,0.56817,1.37134,2.00053,1.81603,0.00073025,0.00073025,0.00073025
44,70.6275,1.39484,1.5811,1.55028,0.69952,0.9291,0.89125,0.54639,1.41173,1.91535,1.83368,0.000717875,0.000717875,0.000717875
45,72.069,1.38408,1.55815,1.47862,0.62331,0.89318,0.87573,0.54678,1.46061,1.87553,1.85943,0.0007055,0.0007055,0.0007055
46,73.5158,1.40307,1.45215,1.379,0.58312,0.89104,0.85967,0.51233,1.55358,1.84518,1.9187,0.000693125,0.000693125,0.000693125
47,75.0247,1.36079,1.55188,1.58403,0.65701,0.8595,0.88319,0.49625,1.62881,1.81535,1.98452,0.00068075,0.00068075,0.00068075
48,76.4545,1.3442,1.43753,1.40547,0.68292,0.89372,0.88507,0.47917,1.71515,1.85468,2.08609,0.000668375,0.000668375,0.000668375
49,77.9255,1.40531,1.51754,1.54165,0.69955,0.91114,0.8862,0.46963,1.6488,1.87528,2.02668,0.000656,0.000656,0.000656
50,79.3599,1.35133,1.525,1.4672,0.74279,0.89015,0.86843,0.46767,1.66705,1.88098,1.99937,0.000643625,0.000643625,0.000643625
51,80.7608,1.39535,1.45878,1.38141,0.78472,0.90233,0.86483,0.48261,1.64243,1.83232,1.96438,0.00063125,0.00063125,0.00063125
52,82.2009,1.25977,1.23617,1.302,0.79969,0.90392,0.87426,0.50651,1.54633,1.69218,1.89479,0.000618875,0.000618875,0.000618875
53,83.5836,1.20586,1.40092,1.36528,0.8044,0.89646,0.8869,0.56682,1.44636,1.5901,1.81709,0.0006065,0.0006065,0.0006065
54,84.972,1.33738,1.43827,1.45925,0.85838,0.85987,0.90506,0.58617,1.39123,1.56724,1.73887,0.000594125,0.000594125,0.000594125
55,86.3687,1.28,1.31889,1.36734,0.93235,0.80843,0.91147,0.57197,1.38986,1.70531,1.7202,0.00058175,0.00058175,0.00058175
56,91.1221,1.28717,1.22273,1.38673,0.90496,0.81945,0.90562,0.61064,1.39579,1.78936,1.74606,0.000569375,0.000569375,0.000569375
57,92.6538,1.29695,1.38451,1.42044,0.88087,0.82335,0.90702,0.60404,1.41163,1.82799,1.78984,0.000557,0.000557,0.000557
58,94.1182,1.21753,1.26923,1.36919,0.88032,0.82213,0.9113,0.60409,1.41933,1.75717,1.81807,0.000544625,0.000544625,0.000544625
59,95.5828,1.24407,1.33452,1.39393,0.89771,0.8598,0.91124,0.61227,1.39893,1.65175,1.79504,0.00053225,0.00053225,0.00053225
60,97.03,1.22074,1.18929,1.37836,0.90995,0.85853,0.91154,0.62955,1.37352,1.55991,1.76959,0.000519875,0.000519875,0.000519875
61,98.5097,1.32872,1.37485,1.48045,0.91786,0.85085,0.91303,0.64867,1.30511,1.47863,1.69178,0.0005075,0.0005075,0.0005075
62,100.003,1.26591,1.17683,1.36348,0.89963,0.86841,0.9055,0.63408,1.28346,1.47304,1.66196,0.000495125,0.000495125,0.000495125
63,101.489,1.18538,1.25808,1.35323,0.86744,0.79825,0.905,0.62796,1.31054,1.49213,1.68466,0.00048275,0.00048275,0.00048275
64,102.96,1.2478,1.27952,1.33464,0.88486,0.88129,0.90651,0.59576,1.35939,1.47582,1.73434,0.000470375,0.000470375,0.000470375
65,104.501,1.16684,1.1563,1.26469,0.8899,0.8701,0.91138,0.58997,1.37727,1.57671,1.75096,0.000458,0.000458,0.000458
66,105.976,1.32157,1.38493,1.38847,0.8027,0.87226,0.90278,0.59747,1.36526,1.826,1.73046,0.000445625,0.000445625,0.000445625
67,107.393,1.25814,1.27397,1.33416,0.84272,0.86034,0.88689,0.59478,1.35372,2.04582,1.7537,0.00043325,0.00043325,0.00043325
68,108.786,1.20035,1.2017,1.3082,0.81355,0.86764,0.87302,0.58765,1.34961,2.18642,1.77584,0.000420875,0.000420875,0.000420875
69,110.147,1.11121,1.23451,1.29842,0.77295,0.86916,0.88137,0.58035,1.36971,2.25496,1.80465,0.0004085,0.0004085,0.0004085
70,111.533,1.22107,1.20925,1.36786,0.84175,0.9208,0.90478,0.58937,1.36642,1.88508,1.81194,0.000396125,0.000396125,0.000396125
