epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.27402,0.96001,0.48889,1,0.94707,0.00040012,0.00040012,0.00040012
2,7.25858,0.53678,0.82222,1,0.47575,0.000806466,0.000806466,0.000806466
3,9.20139,0.24254,0.91111,1,0.24803,0.00120461,0.00120461,0.00120461
4,11.035,0.17088,0.97778,1,0.08381,0.00138656,0.00138656,0.00138656
5,13.0659,0.13351,0.97778,1,0.08259,0.00137241,0.00137241,0.00137241
6,14.9851,0.16304,0.97778,1,0.07191,0.00135826,0.00135826,0.00135826
7,17.0414,0.1785,1,1,0.0438,0.00134412,0.00134412,0.00134412
8,19.0031,0.13388,0.97778,1,0.07656,0.00132997,0.00132997,0.00132997
9,20.8527,0.15316,1,1,0.0185,0.00131582,0.00131582,0.00131582
10,22.7888,0.09675,0.97778,1,0.10455,0.00130168,0.00130168,0.00130168
11,24.8569,0.10616,0.97778,1,0.0476,0.00128753,0.00128753,0.00128753
12,27.0019,0.09324,0.93333,1,0.2859,0.00127338,0.00127338,0.00127338
13,28.9428,0.1155,1,1,0.01331,0.00125923,0.00125923,0.00125923
14,30.9112,0.07287,1,1,0.00319,0.00124509,0.00124509,0.00124509
15,32.9986,0.10613,0.97778,1,0.04738,0.00123094,0.00123094,0.00123094
16,36.8543,0.06945,1,1,0.03289,0.00121679,0.00121679,0.00121679
17,38.7938,0.05671,1,1,0.00215,0.00120265,0.00120265,0.00120265
18,40.6287,0.05999,1,1,0.00042,0.0011885,0.0011885,0.0011885
19,42.4622,0.05686,1,1,0.00042,0.00117435,0.00117435,0.00117435
20,44.3203,0.09515,0.97778,1,0.08799,0.00116021,0.00116021,0.00116021
21,46.0633,0.0524,0.97778,1,0.0452,0.00114606,0.00114606,0.00114606
22,47.8184,0.07349,1,1,0.02875,0.00113191,0.00113191,0.00113191
23,49.6225,0.07122,1,1,0.01735,0.00111776,0.00111776,0.00111776
24,51.5586,0.07494,0.97778,1,0.07176,0.00110362,0.00110362,0.00110362
25,53.3302,0.07884,0.97778,1,0.13306,0.00108947,0.00108947,0.00108947
26,55.159,0.04289,1,1,0.00667,0.00107532,0.00107532,0.00107532
27,56.9734,0.06347,1,1,0.00471,0.00106118,0.00106118,0.00106118
28,58.7899,0.05384,1,1,0.00105,0.00104703,0.00104703,0.00104703
29,60.6957,0.05297,0.97778,1,0.01413,0.00103288,0.00103288,0.00103288
30,62.5666,0.05426,1,1,0.01005,0.00101873,0.00101873,0.00101873
31,64.4688,0.04676,1,1,0.00344,0.00100459,0.00100459,0.00100459
32,66.3802,0.02581,1,1,0.00637,0.00099044,0.00099044,0.00099044
33,70.642,0.04237,1,1,0.00915,0.000976293,0.000976293,0.000976293
34,72.7426,0.04563,1,1,0.01264,0.000962146,0.000962146,0.000962146
35,74.7318,0.02933,1,1,0.00278,0.000947999,0.000947999,0.000947999
36,76.5508,0.044,1,1,0.00042,0.000933851,0.000933851,0.000933851
37,78.2858,0.03859,1,1,0.00204,0.000919704,0.000919704,0.000919704
38,80.0785,0.03907,1,1,0.01382,0.000905557,0.000905557,0.000905557
39,81.9105,0.02938,1,1,0.00553,0.00089141,0.00089141,0.00089141
40,83.6349,0.02828,0.97778,1,0.02854,0.000877263,0.000877263,0.000877263
41,85.3623,0.04181,1,1,0.00494,0.000863116,0.000863116,0.000863116
42,87.2533,0.04075,1,1,0.00241,0.000848969,0.000848969,0.000848969
43,89.009,0.03552,1,1,0.00294,0.000834822,0.000834822,0.000834822
44,90.8801,0.02385,1,1,0.00619,0.000820675,0.000820675,0.000820675
45,92.6622,0.02394,1,1,0.00855,0.000806528,0.000806528,0.000806528
46,94.6939,0.03326,1,1,0.00835,0.00079238,0.00079238,0.00079238
47,96.6884,0.02033,1,1,0.00366,0.000778233,0.000778233,0.000778233
48,98.7093,0.05383,1,1,0.00402,0.000764086,0.000764086,0.000764086
49,100.724,0.0552,1,1,0.00385,0.000749939,0.000749939,0.000749939
50,104.485,0.06261,1,1,0.00551,0.000735792,0.000735792,0.000735792
51,106.367,0.03991,1,1,0.00891,0.000721645,0.000721645,0.000721645
52,108.197,0.06037,1,1,0.00204,0.000707498,0.000707498,0.000707498
53,109.995,0.03898,1,1,0.0122,0.000693351,0.000693351,0.000693351
54,111.723,0.03726,1,1,0.00191,0.000679204,0.000679204,0.000679204
55,113.421,0.05082,1,1,0.00163,0.000665057,0.000665057,0.000665057
56,115.119,0.04862,1,1,0.00034,0.000650909,0.000650909,0.000650909
