epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.31615,2.23061,3.62266,2.2982,0.28489,0.20402,0.0273,0.0069,2.33175,6.61129,2.9322,0.0001875,0.0001875,0.0001875
2,14.1854,1.90769,2.92839,1.95056,0.43277,0.24911,0.17004,0.06627,2.16274,4.5809,2.73913,0.000384943,0.000384943,0.000384943
3,20.845,1.7003,2.545,1.82876,0.60351,0.24063,0.14211,0.05059,2.16879,7.22268,2.77851,0.000579745,0.000579745,0.000579745
4,27.4536,1.80204,2.54931,1.89945,0.40718,0.25037,0.11097,0.06087,2.12635,8.77581,2.90192,0.000771908,0.000771908,0.000771908
5,37.5782,1.90593,2.6269,2.06201,0.31586,0.05134,0.05179,0.02185,2.17869,13.9323,2.92456,0.00096143,0.00096143,0.00096143
6,44.1369,1.95684,2.71661,1.96166,0.33684,0.12109,0.07873,0.03007,2.62778,13.4032,3.72832,0.00114831,0.00114831,0.00114831
7,50.6838,1.78329,2.55694,1.90014,0.07202,0.38393,0.0706,0.01936,2.81101,73.5987,4.48186,0.0012005,0.0012005,0.0012005
8,57.2139,1.89404,2.56859,1.9239,0.07442,0.23036,0.11594,0.03535,2.60775,97.186,4.93797,0.00119225,0.00119225,0.00119225
9,63.7677,1.83225,2.36536,1.89592,0.08239,0.58317,0.15104,0.05916,2.47562,10.2226,3.82993,0.001184,0.001184,0.001184
10,73.9188,1.82388,2.2751,1.87538,0.48338,0.31102,0.2513,0.0963,2.52102,12.5959,3.40433,0.00117575,0.00117575,0.00117575
11,80.5324,1.91407,2.36723,1.92683,0.37961,0.31741,0.24131,0.09046,2.10243,7.64742,2.87686,0.0011675,0.0011675,0.0011675
12,87.1571,1.83315,2.35275,1.97772,0.49133,0.36504,0.26543,0.11138,2.56107,5.9221,2.98398,0.00115925,0.00115925,0.00115925
13,93.8494,1.81831,2.25652,1.91879,0.37791,0.34866,0.18776,0.06112,2.32801,7.54239,2.83308,0.001151,0.001151,0.001151
14,100.425,1.81472,2.1927,1.89649,0.38981,0.33502,0.24089,0.0829,2.42093,3.19312,3.12983,0.00114275,0.00114275,0.00114275
15,110.569,1.77815,2.17712,1.86289,0.31932,0.66563,0.43694,0.17547,2.15672,2.79411,2.93985,0.0011345,0.0011345,0.0011345
16,117.244,1.8728,2.23826,1.92593,0.49165,0.29464,0.34444,0.12761,2.13712,3.05943,3.10602,0.00112625,0.00112625,0.00112625
17,123.816,1.76127,2.06551,1.83257,0.27406,0.56607,0.3592,0.14847,1.67023,4.24868,2.87287,0.001118,0.001118,0.001118
18,130.348,1.81048,2.09425,1.92645,0.45536,0.47009,0.45902,0.20922,1.8351,2.86047,2.88466,0.00110975,0.00110975,0.00110975
19,140.582,1.82653,2.15064,1.87003,0.53931,0.38125,0.35279,0.16534,1.75815,3.20616,2.48579,0.0011015,0.0011015,0.0011015
20,147.192,1.75268,2.11426,1.88046,0.21385,0.50313,0.27042,0.12623,1.67318,3.20088,2.32344,0.00109325,0.00109325,0.00109325
21,153.869,1.74641,2.09606,1.8966,0.18302,0.69083,0.30482,0.11313,2.15009,3.59047,2.67597,0.001085,0.001085,0.001085
22,160.438,1.75312,2.07928,1.88852,0.26738,0.61075,0.39968,0.17375,2.11256,2.95061,2.67268,0.00107675,0.00107675,0.00107675
23,167.025,1.73075,2.10648,1.89482,0.35823,0.77366,0.42638,0.19748,1.90387,2.82518,2.53116,0.0010685,0.0010685,0.0010685
24,177.159,1.70002,1.97808,1.84571,0.27638,0.72634,0.42287,0.21123,1.79832,3.37587,2.38947,0.00106025,0.00106025,0.00106025
25,183.748,1.73449,2.12466,1.84794,0.35828,0.70223,0.42518,0.21562,1.74938,2.51125,2.38913,0.001052,0.001052,0.001052
26,190.358,1.75501,2.0054,1.84337,0.36033,0.71964,0.43867,0.21688,1.66123,2.29436,2.30473,0.00104375,0.00104375,0.00104375
27,196.97,1.67487,2.13795,1.86283,0.58829,0.51786,0.43504,0.22444,1.54678,2.15659,2.21216,0.0010355,0.0010355,0.0010355
28,203.586,1.63693,1.97454,1.83273,0.51062,0.54555,0.44732,0.2253,1.56765,2.18205,2.23514,0.00102725,0.00102725,0.00102725
29,213.81,1.65674,1.94558,1.80278,0.48141,0.70974,0.56048,0.27276,1.47681,2.78973,2.17683,0.001019,0.001019,0.001019
30,220.493,1.61736,2.00923,1.8155,0.41766,0.49561,0.46608,0.24826,1.54091,2.08234,2.21848,0.00101075,0.00101075,0.00101075
31,227.157,1.64033,1.93088,1.81448,0.43548,0.5442,0.4344,0.21445,1.62958,2.12467,2.30085,0.0010025,0.0010025,0.0010025
32,233.73,1.73327,1.92766,1.84712,0.32003,0.68228,0.45945,0.24408,1.50071,2.15698,2.18753,0.00099425,0.00099425,0.00099425
33,240.277,1.6542,1.93619,1.81734,0.34327,0.63438,0.43657,0.21335,1.45958,2.17699,2.12913,0.000986,0.000986,0.000986
34,250.421,1.61228,1.88795,1.77905,0.38883,0.49036,0.43989,0.22306,1.46592,2.14866,2.1749,0.00097775,0.00097775,0.00097775
35,256.996,1.6093,1.9361,1.82842,0.37987,0.46349,0.40438,0.20637,1.4459,2.32815,2.11205,0.0009695,0.0009695,0.0009695
36,263.615,1.60823,1.91089,1.77283,0.38343,0.5746,0.39979,0.17781,1.65359,2.45738,2.27672,0.00096125,0.00096125,0.00096125
37,270.232,1.57183,1.85062,1.7921,0.35218,0.53034,0.38764,0.1761,1.66611,2.24079,2.28429,0.000953,0.000953,0.000953
38,276.795,1.66295,1.9505,1.73762,0.35313,0.60306,0.47797,0.21478,1.64605,1.95212,2.30168,0.00094475,0.00094475,0.00094475
39,286.964,1.57274,1.79475,1.78656,0.40145,0.62813,0.50325,0.25771,1.48706,2.0105,2.16797,0.0009365,0.0009365,0.0009365
40,293.536,1.56779,1.85848,1.79393,0.33742,0.68763,0.46542,0.2668,1.51419,1.96952,2.15755,0.00092825,0.00092825,0.00092825
41,300.157,1.54916,1.88066,1.78648,0.39231,0.59554,0.51095,0.26772,1.56139,2.06401,2.16423,0.00092,0.00092,0.00092
42,306.729,1.67399,1.92387,1.83893,0.44257,0.73857,0.49687,0.23836,1.61935,2.16652,2.20671,0.00091175,0.00091175,0.00091175
43,313.3,1.60556,1.89166,1.7397,0.48362,0.78305,0.50332,0.23731,1.5333,2.20983,2.11039,0.0009035,0.0009035,0.0009035
44,323.453,1.57989,1.79854,1.73942,0.52508,0.6671,0.55284,0.27519,1.41082,2.10887,2.03735,0.00089525,0.00089525,0.00089525
