epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.27855,0.90374,0.51282,1,0.90019,0.000463102,0.000463102,0.000463102
2,5.54866,0.42097,0.89744,1,0.14174,0.000934785,0.000934785,0.000934785
3,7.76718,0.17173,1,1,0.0426,0.00140175,0.00140175,0.00140175
4,9.96282,0.15116,0.92308,1,0.13536,0.00140778,0.00140778,0.00140778
5,12.1616,0.11201,0.92308,1,0.19567,0.00140071,0.00140071,0.00140071
6,14.348,0.13357,0.97436,1,0.02271,0.00139363,0.00139363,0.00139363
7,16.611,0.14126,0.94872,1,0.10778,0.00138656,0.00138656,0.00138656
8,18.8665,0.11223,1,1,0.01068,0.00137949,0.00137949,0.00137949
9,21.0981,0.11729,0.97436,1,0.08173,0.00137241,0.00137241,0.00137241
10,23.3405,0.12025,1,1,0.00989,0.00136534,0.00136534,0.00136534
11,25.4997,0.112,1,1,0.02421,0.00135826,0.00135826,0.00135826
12,27.6936,0.15756,1,1,0.00296,0.00135119,0.00135119,0.00135119
13,29.8808,0.10139,1,1,0.00286,0.00134412,0.00134412,0.00134412
14,32.0346,0.0872,1,1,0.00252,0.00133704,0.00133704,0.00133704
15,34.2951,0.08853,1,1,0.00892,0.00132997,0.00132997,0.00132997
16,36.4502,0.06521,1,1,0.02446,0.0013229,0.0013229,0.0013229
17,38.6498,0.03458,0.97436,1,0.02065,0.00131582,0.00131582,0.00131582
18,40.7679,0.05014,0.97436,1,0.02572,0.00130875,0.00130875,0.00130875
19,42.9228,0.05576,0.97436,1,0.02078,0.00130168,0.00130168,0.00130168
20,45.1028,0.05682,0.97436,1,0.05647,0.0012946,0.0012946,0.0012946
21,47.2494,0.07852,1,1,0.00464,0.00128753,0.00128753,0.00128753
22,49.4852,0.0539,1,1,0.00141,0.00128046,0.00128046,0.00128046
23,51.6801,0.03261,1,1,0.00598,0.00127338,0.00127338,0.00127338
24,53.8572,0.06728,1,1,0.00057,0.00126631,0.00126631,0.00126631
25,56.0229,0.04839,1,1,0.00134,0.00125923,0.00125923,0.00125923
26,58.2067,0.06219,1,1,0.00036,0.00125216,0.00125216,0.00125216
27,60.3918,0.04617,1,1,0.00173,0.00124509,0.00124509,0.00124509
28,62.5505,0.07115,1,1,0.0012,0.00123801,0.00123801,0.00123801
29,64.7833,0.04031,1,1,0.00432,0.00123094,0.00123094,0.00123094
30,66.9673,0.04619,1,1,0.00208,0.00122387,0.00122387,0.00122387
31,69.152,0.07534,1,1,0.00165,0.00121679,0.00121679,0.00121679
32,71.3355,0.05803,1,1,0.00595,0.00120972,0.00120972,0.00120972
33,73.499,0.05902,1,1,0.00257,0.00120265,0.00120265,0.00120265
34,75.7384,0.02921,1,1,0.00293,0.00119557,0.00119557,0.00119557
35,77.9561,0.04042,1,1,0.00494,0.0011885,0.0011885,0.0011885
36,80.2683,0.04374,1,1,0.00052,0.00118143,0.00118143,0.00118143
37,82.4676,0.05762,1,1,0.00012,0.00117435,0.00117435,0.00117435
38,84.6365,0.04657,1,1,0.0004,0.00116728,0.00116728,0.00116728
39,86.8634,0.04166,1,1,0.00296,0.00116021,0.00116021,0.00116021
40,89.1333,0.04952,1,1,0.00128,0.00115313,0.00115313,0.00115313
41,91.2912,0.08032,0.97436,1,0.08403,0.00114606,0.00114606,0.00114606
42,93.4138,0.07261,0.94872,1,0.17793,0.00113898,0.00113898,0.00113898
43,95.5401,0.05762,1,1,0.0014,0.00113191,0.00113191,0.00113191
44,97.7242,0.06239,1,1,0.00092,0.00112484,0.00112484,0.00112484
45,99.8752,0.06331,1,1,0.00288,0.00111776,0.00111776,0.00111776
46,102.029,0.05799,0.97436,1,0.03869,0.00111069,0.00111069,0.00111069
47,104.174,0.03565,0.97436,1,0.02432,0.00110362,0.00110362,0.00110362
48,106.332,0.03366,0.97436,1,0.07225,0.00109654,0.00109654,0.00109654
49,108.504,0.0354,1,1,0.01927,0.00108947,0.00108947,0.00108947
50,110.741,0.02965,1,1,0.00083,0.0010824,0.0010824,0.0010824
51,112.953,0.02816,1,1,0.00651,0.00107532,0.00107532,0.00107532
52,115.133,0.02908,1,1,0.00078,0.00106825,0.00106825,0.00106825
53,117.313,0.04156,1,1,0.00018,0.00106118,0.00106118,0.00106118
54,119.514,0.04694,1,1,0.00127,0.0010541,0.0010541,0.0010541
55,121.674,0.03511,1,1,0.00254,0.00104703,0.00104703,0.00104703
56,123.828,0.03576,1,1,0.00932,0.00103995,0.00103995,0.00103995
57,126.045,0.02662,0.97436,1,0.03154,0.00103288,0.00103288,0.00103288
58,128.171,0.05809,1,1,0.01956,0.00102581,0.00102581,0.00102581
59,130.324,0.03003,1,1,0.03448,0.00101873,0.00101873,0.00101873
60,132.48,0.03534,0.97436,1,0.03364,0.00101166,0.00101166,0.00101166
61,134.602,0.03512,1,1,0.00329,0.00100459,0.00100459,0.00100459
62,136.757,0.03306,1,1,0.00108,0.000997513,0.000997513,0.000997513
63,138.923,0.02435,1,1,0.00016,0.00099044,0.00099044,0.00099044
64,141.135,0.05856,1,1,0.00109,0.000983366,0.000983366,0.000983366
65,143.34,0.03581,1,1,0.00185,0.000976293,0.000976293,0.000976293
66,145.521,0.03727,1,1,0.00125,0.000969219,0.000969219,0.000969219
67,147.703,0.03776,1,1,0.00724,0.000962146,0.000962146,0.000962146
68,149.875,0.0462,1,1,0.00447,0.000955072,0.000955072,0.000955072
69,152.036,0.02256,0.97436,1,0.01915,0.000947999,0.000947999,0.000947999
70,154.158,0.04001,0.97436,1,0.08782,0.000940925,0.000940925,0.000940925
71,156.291,0.03872,1,1,0.00075,0.000933851,0.000933851,0.000933851
72,158.458,0.04162,1,1,0.0015,0.000926778,0.000926778,0.000926778
73,160.606,0.06684,1,1,0.00246,0.000919704,0.000919704,0.000919704
74,162.769,0.04614,1,1,0.04764,0.000912631,0.000912631,0.000912631
75,164.925,0.04824,1,1,0.01039,0.000905557,0.000905557,0.000905557
76,167.076,0.02232,0.97436,1,0.07327,0.000898484,0.000898484,0.000898484
77,169.205,0.04136,0.97436,1,0.07688,0.00089141,0.00089141,0.00089141
78,171.362,0.0352,1,1,0.03425,0.000884337,0.000884337,0.000884337
79,173.586,0.02342,0.97436,1,0.06718,0.000877263,0.000877263,0.000877263
80,175.756,0.01931,1,1,0.01457,0.00087019,0.00087019,0.00087019
81,177.94,0.0215,0.97436,1,0.02805,0.000863116,0.000863116,0.000863116
82,180.092,0.02553,1,1,0.01919,0.000856042,0.000856042,0.000856042
83,182.264,0.02646,0.97436,1,0.10352,0.000848969,0.000848969,0.000848969
84,184.397,0.02129,0.97436,1,0.15066,0.000841895,0.000841895,0.000841895
85,186.592,0.03166,0.97436,1,0.03954,0.000834822,0.000834822,0.000834822
86,188.715,0.02283,0.97436,1,0.0286,0.000827748,0.000827748,0.000827748
87,190.84,0.0251,0.97436,1,0.0315,0.000820675,0.000820675,0.000820675
88,192.958,0.04522,1,1,0.00751,0.000813601,0.000813601,0.000813601
89,195.11,0.02915,1,1,0.00051,0.000806528,0.000806528,0.000806528
90,197.273,0.03741,1,1,0.0004,0.000799454,0.000799454,0.000799454
91,199.455,0.02479,1,1,0.00117,0.00079238,0.00079238,0.00079238
92,201.602,0.05335,0.97436,1,0.10489,0.000785307,0.000785307,0.000785307
93,203.774,0.04626,0.97436,1,0.04707,0.000778233,0.000778233,0.000778233
94,205.95,0.03241,1,1,0.00261,0.00077116,0.00077116,0.00077116
95,208.146,0.03348,1,1,0.00067,0.000764086,0.000764086,0.000764086
96,210.324,0.03066,1,1,0.00037,0.000757013,0.000757013,0.000757013
97,212.507,0.03064,1,1,0.00679,0.000749939,0.000749939,0.000749939
98,214.682,0.01972,0.97436,1,0.02297,0.000742866,0.000742866,0.000742866
99,216.818,0.03052,1,1,0.0187,0.000735792,0.000735792,0.000735792
100,218.992,0.02428,1,1,0.00053,0.000728719,0.000728719,0.000728719
101,221.162,0.04409,1,1,0.00053,0.000721645,0.000721645,0.000721645
102,223.322,0.03175,1,1,0.00152,0.000714571,0.000714571,0.000714571
103,225.481,0.01928,1,1,0.00144,0.000707498,0.000707498,0.000707498
