epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9304,1.66711,2.16515,1.29503,0.31186,0.14814,0.09032,0.03319,2.27365,4.1247,2.23473,0.0003125,0.0003125,0.0003125
2,22.6118,1.43421,1.33519,1.15082,0.7406,0.10556,0.31262,0.17612,2.20537,4.28755,2.507,0.000634344,0.000634344,0.000634344
3,33.1141,1.4286,1.28679,1.1884,0.53034,0.30389,0.20724,0.06618,2.39061,3.88448,2.80792,0.000952971,0.000952971,0.000952971
4,44.1549,1.38941,1.0943,1.134,0.48169,0.32778,0.44483,0.28529,2.11754,5.98417,2.57464,0.00123144,0.00123144,0.00123144
5,54.6548,1.36731,1.03926,1.13207,0.34202,0.75898,0.52104,0.29957,1.97515,4.88484,2.50426,0.00122525,0.00122525,0.00122525
6,65.0772,1.32081,1.03531,1.1565,0.41638,0.77876,0.50193,0.3104,1.713,5.80348,1.89745,0.00121906,0.00121906,0.00121906
7,76.3686,1.24795,0.86221,1.08316,0.48594,0.81587,0.53198,0.3405,1.97709,4.62875,2.68956,0.00121287,0.00121287,0.00121287
8,86.7703,1.3098,0.89404,1.13338,0.45897,0.69667,0.6288,0.38136,2.02623,3.13044,2.41247,0.00120669,0.00120669,0.00120669
9,97.2551,1.30999,0.87525,1.1037,0.5281,0.45163,0.4873,0.31312,1.98945,2.3777,2.39301,0.0012005,0.0012005,0.0012005
10,108.583,1.29443,0.85335,1.09626,0.41324,0.64917,0.5503,0.26313,2.07319,2.33086,2.23357,0.00119431,0.00119431,0.00119431
11,118.797,1.2346,0.78771,1.07051,0.44604,0.7505,0.63321,0.38224,1.82035,2.77782,2.05676,0.00118812,0.00118812,0.00118812
12,129.236,1.2383,0.82062,1.08775,0.43576,0.70403,0.52553,0.25018,2.06066,2.64902,2.19173,0.00118194,0.00118194,0.00118194
13,140.382,1.26857,0.88381,1.11327,0.69986,0.43111,0.66081,0.44211,1.89276,2.40289,1.99244,0.00117575,0.00117575,0.00117575
14,150.698,1.16833,0.78283,1.07769,0.53174,0.56111,0.63901,0.45998,1.62928,2.50494,1.8994,0.00116956,0.00116956,0.00116956
15,161.14,1.24275,0.80986,1.07328,0.55354,0.58778,0.60908,0.44688,1.72775,2.31315,1.86175,0.00116337,0.00116337,0.00116337
16,172.35,1.22945,0.79131,1.07687,0.6062,0.75354,0.6187,0.42617,1.58389,1.86981,1.82597,0.00115719,0.00115719,0.00115719
17,182.503,1.23178,0.78967,1.08341,0.79591,0.80251,0.78279,0.51553,1.67418,1.68918,1.84174,0.001151,0.001151,0.001151
18,192.911,1.23219,0.73504,1.08324,0.68257,0.76016,0.75118,0.51922,1.76344,1.90611,2.0074,0.00114481,0.00114481,0.00114481
19,204.282,1.20697,0.74353,1.09549,0.7469,0.82667,0.77818,0.56922,1.56582,1.4425,1.72803,0.00113863,0.00113863,0.00113863
20,214.563,1.17291,0.72218,1.0627,0.84861,0.75273,0.79133,0.49939,1.79867,1.65745,1.92,0.00113244,0.00113244,0.00113244
21,224.877,1.18303,0.77213,1.09131,0.75059,0.78035,0.78848,0.50416,1.55717,1.9674,1.75867,0.00112625,0.00112625,0.00112625
22,236.197,1.15603,0.71285,1.04814,0.72098,0.76652,0.75983,0.51879,1.64506,1.89305,1.85554,0.00112006,0.00112006,0.00112006
23,246.448,1.16573,0.68713,1.03405,0.7439,0.83312,0.76193,0.50981,1.73262,1.64626,1.93398,0.00111388,0.00111388,0.00111388
24,256.731,1.09541,0.64927,1.02081,0.56384,0.82667,0.7342,0.41042,1.86583,2.11735,2.09169,0.00110769,0.00110769,0.00110769
25,267.043,1.11277,0.69397,1.07097,0.52656,0.76567,0.74455,0.40081,1.74947,3.42444,1.97243,0.0011015,0.0011015,0.0011015
26,278.208,1.13112,0.69035,1.06371,0.53347,0.66429,0.66977,0.457,1.66525,1.98478,1.91962,0.00109531,0.00109531,0.00109531
27,288.28,1.09433,0.70859,1.0527,0.53306,0.79764,0.76124,0.50366,1.54172,1.83731,1.86222,0.00108913,0.00108913,0.00108913
28,298.509,1.14921,0.7991,1.07617,0.75343,0.83667,0.7934,0.52843,1.5658,1.83809,1.89248,0.00108294,0.00108294,0.00108294
29,309.969,1.07307,0.65685,1.01549,0.7119,0.7859,0.78428,0.52386,1.73166,1.85646,1.93135,0.00107675,0.00107675,0.00107675
30,320.06,1.13483,0.67367,1.03287,0.60284,0.80667,0.77694,0.55707,1.82176,1.84358,2.08357,0.00107056,0.00107056,0.00107056
31,330.254,1.04364,0.62153,1.03525,0.7215,0.78667,0.76845,0.54024,1.74178,2.02489,1.98661,0.00106437,0.00106437,0.00106437
32,341.467,1.05083,0.6361,1.01218,0.53018,0.83661,0.74312,0.5536,1.77567,1.8907,2.08352,0.00105819,0.00105819,0.00105819
33,351.496,1.04811,0.63155,1.01786,0.67635,0.53667,0.6191,0.40871,1.86238,2.08216,2.0503,0.001052,0.001052,0.001052
34,361.734,1.08943,0.69307,1.05793,0.60554,0.81667,0.74613,0.54873,1.76971,1.66984,1.98146,0.00104581,0.00104581,0.00104581
35,373.046,1.11075,0.67423,1.05952,0.7325,0.77701,0.74147,0.46969,1.91738,1.59129,2.19864,0.00103962,0.00103962,0.00103962
36,382.841,1.13382,0.70871,1.07616,0.68599,0.77667,0.72341,0.51361,1.76787,1.7269,2.10864,0.00103344,0.00103344,0.00103344
37,393.101,1.08157,0.67199,1.06057,0.77721,0.81401,0.75973,0.55621,1.70843,1.47777,2.00984,0.00102725,0.00102725,0.00102725
38,404.771,1.04344,0.61693,1.01921,0.85503,0.78385,0.80417,0.59412,1.61385,1.29693,1.89839,0.00102106,0.00102106,0.00102106
39,415.227,1.11864,0.66639,1.05174,0.83342,0.82667,0.80128,0.56646,1.81534,1.49394,2.08408,0.00101488,0.00101488,0.00101488
40,424.981,1.07037,0.64808,1.02495,0.80769,0.80989,0.80033,0.58175,1.74967,1.59354,2.07482,0.00100869,0.00100869,0.00100869
41,436.429,1.0707,0.6203,1.00995,0.82163,0.77084,0.78204,0.5527,1.60191,1.52012,1.95908,0.0010025,0.0010025,0.0010025
42,446.517,1.05378,0.59711,1.01496,0.84443,0.81667,0.82088,0.58913,1.68554,1.42204,1.93279,0.000996313,0.000996313,0.000996313
43,456.441,1.06631,0.60713,1.02952,0.84151,0.80667,0.80684,0.57136,1.65001,1.41277,1.88696,0.000990125,0.000990125,0.000990125
44,466.681,1.01634,0.60769,1.00276,0.85487,0.79026,0.77943,0.57233,1.67447,1.54584,1.90843,0.000983938,0.000983938,0.000983938
45,478.286,1.0438,0.58825,1.01086,0.80061,0.78461,0.77771,0.53549,1.83041,1.58216,2.05604,0.00097775,0.00097775,0.00097775
46,488.049,1.01662,0.60037,1.03124,0.76854,0.79667,0.75779,0.55836,1.93418,1.68364,2.31283,0.000971562,0.000971562,0.000971562
47,498.234,1.02181,0.5982,1.01389,0.78402,0.79836,0.78457,0.59592,1.56434,1.46629,1.8825,0.000965375,0.000965375,0.000965375
48,509.869,0.9979,0.56643,0.97757,0.87274,0.75667,0.79414,0.60695,1.50747,1.42885,1.83145,0.000959187,0.000959187,0.000959187
49,519.682,1.02138,0.59497,0.99329,0.86047,0.78768,0.79391,0.62503,1.49488,1.36941,1.90899,0.000953,0.000953,0.000953
50,530.003,0.9856,0.55988,0.99068,0.81377,0.80667,0.76849,0.54605,1.70183,1.55502,2.06989,0.000946812,0.000946812,0.000946812
51,541.695,0.97994,0.57148,0.98951,0.84677,0.77667,0.75795,0.58077,1.70061,1.78722,1.95492,0.000940625,0.000940625,0.000940625
52,551.572,0.99765,0.58989,0.985,0.8066,0.78463,0.76607,0.56054,1.62551,1.73421,1.94839,0.000934438,0.000934438,0.000934438
53,561.771,0.97826,0.5493,0.98669,0.76195,0.80667,0.75141,0.54383,1.61863,1.61537,1.80959,0.00092825,0.00092825,0.00092825
54,573.391,0.99312,0.55896,0.98982,0.75438,0.83291,0.7642,0.54359,1.62564,1.38019,1.8811,0.000922063,0.000922063,0.000922063
55,583.223,0.93163,0.54051,0.98055,0.8933,0.7922,0.81291,0.60838,1.52859,1.32681,1.88498,0.000915875,0.000915875,0.000915875
56,593.656,0.97357,0.54809,0.97272,0.82035,0.77667,0.78233,0.55908,1.83545,1.47767,2.27562,0.000909688,0.000909688,0.000909688
57,605.68,0.97433,0.55121,0.98129,0.72762,0.79667,0.76362,0.56378,1.96996,1.55655,2.32457,0.0009035,0.0009035,0.0009035
58,615.849,0.95128,0.55198,0.99366,0.72734,0.82667,0.75297,0.51468,1.6258,1.47656,1.87081,0.000897313,0.000897313,0.000897313
59,626.232,0.95285,0.54745,0.99747,0.8116,0.79187,0.78004,0.53139,1.54997,1.37006,1.829,0.000891125,0.000891125,0.000891125
60,638.073,0.95088,0.53085,0.96708,0.85197,0.81237,0.80954,0.56154,1.5307,1.29693,1.84925,0.000884938,0.000884938,0.000884938
61,648.504,0.95045,0.54224,0.97975,0.84534,0.79322,0.79205,0.56455,1.60593,1.44938,1.85339,0.00087875,0.00087875,0.00087875
62,658.928,0.98907,0.55204,0.96512,0.78308,0.79504,0.7531,0.55458,1.6401,1.60356,1.83622,0.000872563,0.000872563,0.000872563
63,669.356,0.87203,0.50755,0.96203,0.84776,0.8086,0.78233,0.55129,1.61834,1.47596,1.87319,0.000866375,0.000866375,0.000866375
64,680.798,0.95145,0.52743,0.96363,0.84943,0.80243,0.77021,0.56882,1.63938,1.42209,1.91351,0.000860188,0.000860188,0.000860188
65,691.222,0.91392,0.5204,0.98334,0.8658,0.79459,0.772,0.58526,1.64197,1.52288,1.88015,0.000854,0.000854,0.000854
66,701.706,0.92872,0.53456,0.96342,0.82792,0.78665,0.77831,0.57953,1.55502,1.45781,1.81383,0.000847813,0.000847813,0.000847813
67,713.319,0.92264,0.5074,0.9552,0.79676,0.80431,0.77851,0.59035,1.56392,1.52686,1.86124,0.000841625,0.000841625,0.000841625
68,723.693,0.89168,0.49925,0.95462,0.8256,0.79667,0.77516,0.59227,1.53102,1.4989,1.83417,0.000835438,0.000835438,0.000835438
69,734.126,0.90152,0.4918,0.94993,0.83646,0.79667,0.76017,0.59928,1.49651,1.43182,1.84568,0.00082925,0.00082925,0.00082925
70,745.722,0.93728,0.50211,0.9454,0.81578,0.83133,0.77545,0.55443,1.62595,1.4935,1.93238,0.000823063,0.000823063,0.000823063
71,756.014,0.90451,0.51465,0.96337,0.81803,0.79667,0.7789,0.56731,1.5078,1.4187,1.77521,0.000816875,0.000816875,0.000816875
72,766.308,0.90948,0.49455,0.96413,0.82988,0.78667,0.76374,0.58942,1.5738,1.53541,1.79541,0.000810688,0.000810688,0.000810688
73,777.91,0.87637,0.48801,0.95829,0.83995,0.79865,0.79,0.60411,1.48335,1.37273,1.72089,0.0008045,0.0008045,0.0008045
74,788.306,0.88233,0.48271,0.9426,0.86273,0.79319,0.79094,0.61619,1.50882,1.41157,1.76883,0.000798313,0.000798313,0.000798313
75,798.638,0.91011,0.4939,0.95113,0.87217,0.79489,0.7971,0.61531,1.62703,1.62556,1.85128,0.000792125,0.000792125,0.000792125
76,810.202,0.91062,0.50827,0.96147,0.85381,0.79975,0.78515,0.60084,1.70654,1.65043,1.93269,0.000785938,0.000785938,0.000785938
77,820.547,0.891,0.48835,0.9546,0.85773,0.80667,0.78149,0.60869,1.57636,1.52383,1.80789,0.00077975,0.00077975,0.00077975
