epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89194,2.07998,3.64844,2.05416,0.00325,0.73616,0.05363,0.01916,2.10578,3.96368,2.66224,0.0001875,0.0001875,0.0001875
2,8.55405,1.69634,3.26935,1.74352,0.00427,0.82321,0.12041,0.04508,1.81848,3.84983,2.27361,0.000383664,0.000383664,0.000383664
3,11.073,1.72578,2.66835,1.72693,0.7304,0.11384,0.3061,0.14645,1.53897,3.4293,1.92538,0.000575868,0.000575868,0.000575868
4,13.5719,1.75048,2.64149,1.73158,0.91285,0.08758,0.26479,0.07969,1.6677,3.36486,2.0437,0.000764111,0.000764111,0.000764111
5,16.0537,1.64568,2.52701,1.71645,0.68195,0.2004,0.24691,0.10673,1.94069,3.36816,2.2978,0.000948395,0.000948395,0.000948395
6,18.5623,1.8142,2.51065,1.75179,0.6662,0.24911,0.1943,0.07157,2.15442,3.3392,2.84229,0.00112872,0.00112872,0.00112872
7,21.0179,1.64427,2.48687,1.73432,0.42917,0.24981,0.19407,0.07321,2.06826,3.32715,2.69475,0.00117575,0.00117575,0.00117575
8,23.5061,1.6797,2.48244,1.74412,0.28239,0.45982,0.27547,0.10701,1.88421,4.75143,2.59796,0.00116337,0.00116337,0.00116337
9,25.9819,1.65321,2.37024,1.72248,0.22039,0.33125,0.269,0.10786,2.04365,7.47917,2.67347,0.001151,0.001151,0.001151
10,32.0049,1.62747,2.21427,1.68366,0.4452,0.45938,0.37376,0.16811,1.79658,4.70966,2.13582,0.00113863,0.00113863,0.00113863
11,34.4905,1.68545,2.40782,1.727,0.64212,0.24315,0.28461,0.11271,1.73617,3.13101,2.12261,0.00112625,0.00112625,0.00112625
12,36.9555,1.64198,2.38044,1.7398,0.59921,0.33983,0.34591,0.14537,1.57613,3.30124,2.00764,0.00111388,0.00111388,0.00111388
13,39.4311,1.66127,2.33648,1.71938,0.47177,0.54464,0.32347,0.13111,1.82113,4.43422,2.28662,0.0011015,0.0011015,0.0011015
14,41.9048,1.69903,2.28513,1.73004,0.57752,0.38168,0.37974,0.19835,1.63741,3.48063,2.15284,0.00108913,0.00108913,0.00108913
15,44.4186,1.6122,2.27368,1.70683,0.57546,0.42991,0.45068,0.18055,1.70839,3.36617,2.3083,0.00107675,0.00107675,0.00107675
16,46.8913,1.6277,2.23404,1.72454,0.44014,0.48053,0.34743,0.13792,1.74368,3.06557,2.36078,0.00106437,0.00106437,0.00106437
17,49.3303,1.55463,2.09904,1.62176,0.5424,0.475,0.4331,0.21242,1.58833,3.01827,2.1326,0.001052,0.001052,0.001052
18,51.7755,1.57158,2.15131,1.70051,0.34252,0.41116,0.4456,0.24296,1.52642,3.0523,2.0723,0.00103962,0.00103962,0.00103962
19,54.2734,1.6691,2.07781,1.75642,0.6016,0.47813,0.4594,0.23038,1.5965,3.1623,2.0828,0.00102725,0.00102725,0.00102725
20,56.7735,1.59287,2.09987,1.71727,0.37009,0.68861,0.48105,0.22685,1.66786,2.82569,2.22978,0.00101488,0.00101488,0.00101488
21,59.2462,1.55366,2.04956,1.66231,0.31552,0.55699,0.41757,0.21193,1.54203,2.58286,2.16181,0.0010025,0.0010025,0.0010025
22,61.7164,1.62054,2.0729,1.69646,0.63045,0.51752,0.46095,0.20468,1.72402,2.55777,2.18148,0.000990125,0.000990125,0.000990125
23,67.5983,1.53004,2.11945,1.66383,0.53297,0.6462,0.54134,0.2903,1.45991,2.68121,1.96372,0.00097775,0.00097775,0.00097775
24,70.0562,1.53154,2.01646,1.63227,0.47112,0.6342,0.52362,0.28587,1.34777,2.61432,1.83559,0.000965375,0.000965375,0.000965375
25,72.5223,1.5097,2.12505,1.6306,0.38056,0.56652,0.41568,0.22799,1.32683,2.66514,1.82831,0.000953,0.000953,0.000953
26,74.9802,1.5191,1.98284,1.59207,0.36238,0.59732,0.48367,0.25739,1.33097,2.68154,1.7935,0.000940625,0.000940625,0.000940625
27,77.4411,1.50342,2.07923,1.61669,0.32918,0.65998,0.49371,0.28042,1.41675,2.38738,1.84058,0.00092825,0.00092825,0.00092825
28,79.9172,1.47318,1.94544,1.61181,0.57522,0.62187,0.56981,0.31862,1.33004,2.15353,1.79785,0.000915875,0.000915875,0.000915875
29,82.4357,1.50271,1.96629,1.59816,0.50111,0.6442,0.57689,0.32841,1.3749,2.23481,1.82577,0.0009035,0.0009035,0.0009035
30,84.9378,1.52351,1.99928,1.64044,0.48447,0.8301,0.64499,0.3601,1.44301,2.45148,1.95366,0.000891125,0.000891125,0.000891125
31,87.4132,1.42685,1.88692,1.55227,0.57166,0.67791,0.6025,0.33225,1.49027,3.00279,2.12063,0.00087875,0.00087875,0.00087875
32,89.8754,1.51684,1.95017,1.57522,0.41239,0.81186,0.57097,0.29347,1.58124,2.98632,2.15172,0.000866375,0.000866375,0.000866375
33,92.478,1.49658,1.98225,1.56843,0.37006,0.84615,0.53344,0.2818,1.604,2.72764,2.14174,0.000854,0.000854,0.000854
34,95.0166,1.4571,1.90567,1.55171,0.42539,0.5875,0.51821,0.28591,1.50571,2.51815,1.93182,0.000841625,0.000841625,0.000841625
35,97.4579,1.39615,1.92458,1.5805,0.45501,0.63695,0.52272,0.28891,1.29716,2.67196,1.74619,0.00082925,0.00082925,0.00082925
36,103.5,1.41885,1.91908,1.54631,0.4123,0.6125,0.53826,0.30998,1.28721,2.40511,1.72689,0.000816875,0.000816875,0.000816875
37,105.966,1.40241,1.88208,1.56566,0.58035,0.65128,0.62497,0.35836,1.26296,2.44763,1.73688,0.0008045,0.0008045,0.0008045
38,108.451,1.45524,1.90562,1.51972,0.52174,0.72927,0.61112,0.35647,1.42528,2.30445,1.88085,0.000792125,0.000792125,0.000792125
39,110.96,1.39518,1.81482,1.56521,0.46259,0.86758,0.56544,0.32704,1.47782,2.32062,1.91632,0.00077975,0.00077975,0.00077975
40,113.473,1.36391,1.78277,1.54256,0.49043,0.84429,0.54183,0.32099,1.53293,2.31874,1.96724,0.000767375,0.000767375,0.000767375
41,115.971,1.3529,1.84868,1.53969,0.48914,0.85958,0.53005,0.30599,1.49074,2.19405,1.90774,0.000755,0.000755,0.000755
42,118.488,1.43911,1.89941,1.59819,0.50629,0.90484,0.57558,0.32552,1.47758,2.08389,1.94005,0.000742625,0.000742625,0.000742625
43,120.988,1.40206,1.83951,1.49693,0.52302,0.89314,0.59024,0.32906,1.54462,2.26322,2.09927,0.00073025,0.00073025,0.00073025
44,123.473,1.42372,1.81524,1.52593,0.53972,0.80089,0.55365,0.33293,1.39232,2.52452,1.8167,0.000717875,0.000717875,0.000717875
45,126.043,1.38378,1.77195,1.55071,0.53884,0.90052,0.60873,0.35588,1.38438,2.14635,1.77835,0.0007055,0.0007055,0.0007055
46,128.53,1.45364,1.79959,1.57697,0.44952,0.93437,0.58007,0.32532,1.47116,2.00119,1.84007,0.000693125,0.000693125,0.000693125
47,130.97,1.40094,1.79696,1.52067,0.47263,0.80937,0.53636,0.29616,1.45566,1.9106,1.82553,0.00068075,0.00068075,0.00068075
48,133.408,1.35846,1.76566,1.52168,0.45675,0.8157,0.54527,0.31409,1.42033,1.87197,1.83178,0.000668375,0.000668375,0.000668375
49,139,1.39533,1.67238,1.50941,0.51788,0.78534,0.56937,0.32473,1.3777,1.75439,1.77592,0.000656,0.000656,0.000656
50,141.467,1.36113,1.80096,1.52718,0.54861,0.8801,0.61207,0.36593,1.27987,1.73574,1.68974,0.000643625,0.000643625,0.000643625
51,144.03,1.41261,1.79963,1.54182,0.51809,0.79751,0.58866,0.36111,1.22447,1.93507,1.67602,0.00063125,0.00063125,0.00063125
52,146.49,1.36433,1.74958,1.50402,0.50889,0.82474,0.60513,0.35844,1.26423,2.07271,1.77941,0.000618875,0.000618875,0.000618875
53,148.932,1.39802,1.77132,1.52439,0.44811,0.80223,0.59506,0.35196,1.37749,2.40312,1.87901,0.0006065,0.0006065,0.0006065
54,151.386,1.37152,1.77579,1.50935,0.4134,0.73808,0.57234,0.34897,1.41735,2.15042,1.87272,0.000594125,0.000594125,0.000594125
55,153.831,1.3801,1.752,1.53223,0.37421,0.89368,0.56272,0.34689,1.40512,2.08366,1.89681,0.00058175,0.00058175,0.00058175
56,156.239,1.329,1.69038,1.46914,0.42127,0.90893,0.60227,0.37248,1.30734,2.24492,1.81329,0.000569375,0.000569375,0.000569375
57,158.727,1.33472,1.74406,1.52811,0.44543,0.79504,0.60867,0.36225,1.27181,1.92668,1.80383,0.000557,0.000557,0.000557
58,161.226,1.23066,1.64091,1.45831,0.55113,0.79726,0.60215,0.349,1.2761,1.80815,1.80374,0.000544625,0.000544625,0.000544625
59,163.653,1.28791,1.70587,1.49888,0.49907,0.81103,0.56338,0.33018,1.28516,1.87845,1.7995,0.00053225,0.00053225,0.00053225
60,166.091,1.2617,1.69694,1.48663,0.50925,0.87321,0.54193,0.32591,1.30696,1.90518,1.82324,0.000519875,0.000519875,0.000519875
61,168.535,1.32385,1.66737,1.51078,0.4705,0.87946,0.55202,0.34081,1.30549,2.01216,1.83144,0.0005075,0.0005075,0.0005075
62,174.592,1.30923,1.66548,1.44738,0.48769,0.896,0.59343,0.36195,1.35538,2.13515,1.86492,0.000495125,0.000495125,0.000495125
63,177.116,1.31429,1.71794,1.48778,0.47073,0.83304,0.56052,0.35033,1.35427,2.14493,1.88276,0.00048275,0.00048275,0.00048275
64,179.64,1.32696,1.67947,1.51864,0.47827,0.94018,0.55617,0.33634,1.32481,1.89108,1.84975,0.000470375,0.000470375,0.000470375
65,182.169,1.26895,1.62142,1.42015,0.48143,0.90341,0.55161,0.33609,1.31994,1.70168,1.82788,0.000458,0.000458,0.000458
66,184.707,1.27946,1.5162,1.41386,0.44172,0.90172,0.57779,0.35532,1.35447,1.72593,1.86413,0.000445625,0.000445625,0.000445625
67,187.23,1.22941,1.57908,1.44661,0.45725,0.87589,0.57786,0.339,1.37825,1.77365,1.91555,0.00043325,0.00043325,0.00043325
68,189.693,1.29712,1.60796,1.44132,0.51609,0.8335,0.60587,0.34903,1.43905,1.74512,1.99514,0.000420875,0.000420875,0.000420875
69,192.13,1.29581,1.56746,1.44351,0.49921,0.89279,0.58071,0.34373,1.45039,1.85401,2.00136,0.0004085,0.0004085,0.0004085
70,194.624,1.28016,1.6528,1.47017,0.48555,0.91262,0.56979,0.33048,1.41248,1.95333,1.92619,0.000396125,0.000396125,0.000396125
71,197.078,1.22307,1.60274,1.41777,0.53181,0.72411,0.56864,0.34321,1.40088,1.91082,1.86636,0.00038375,0.00038375,0.00038375
72,199.506,1.26873,1.59676,1.41794,0.51345,0.73281,0.5432,0.33355,1.37522,1.84347,1.82314,0.000371375,0.000371375,0.000371375
73,201.936,1.27953,1.6241,1.40724,0.45923,0.85362,0.54395,0.34463,1.35057,1.7662,1.78896,0.000359,0.000359,0.000359
74,204.362,1.25399,1.63528,1.40093,0.51792,0.88688,0.554,0.34165,1.35376,1.77179,1.79296,0.000346625,0.000346625,0.000346625
75,209.951,1.24696,1.5331,1.39534,0.54409,0.89464,0.57748,0.3439,1.32653,1.75714,1.77378,0.00033425,0.00033425,0.00033425
76,212.381,1.24095,1.54954,1.41705,0.54338,0.91577,0.60838,0.36338,1.27947,1.72804,1.72795,0.000321875,0.000321875,0.000321875
77,214.872,1.20775,1.52625,1.35913,0.55293,0.88391,0.58429,0.35278,1.23369,1.66755,1.66263,0.0003095,0.0003095,0.0003095
78,217.314,1.2388,1.58785,1.38503,0.55443,0.73588,0.58978,0.35164,1.20157,1.68976,1.61562,0.000297125,0.000297125,0.000297125
79,219.757,1.1976,1.54612,1.36571,0.59618,0.74388,0.58057,0.34915,1.2294,1.69692,1.64025,0.00028475,0.00028475,0.00028475
80,222.233,1.17641,1.5183,1.34971,0.53611,0.74458,0.56681,0.3467,1.26021,1.72603,1.67686,0.000272375,0.000272375,0.000272375
81,224.704,1.19523,1.55597,1.40687,0.54203,0.77671,0.58053,0.35065,1.28008,1.66299,1.70442,0.00026,0.00026,0.00026
82,227.195,1.21072,1.53538,1.41307,0.50413,0.86554,0.59263,0.34708,1.30454,1.60238,1.7295,0.000247625,0.000247625,0.000247625
83,229.645,1.19573,1.46892,1.36727,0.49653,0.86629,0.58414,0.36345,1.34489,1.61804,1.76373,0.00023525,0.00023525,0.00023525
84,232.119,1.25907,1.59026,1.3806,0.5046,0.92589,0.58895,0.36623,1.31039,1.60628,1.73715,0.000222875,0.000222875,0.000222875
85,234.552,1.21148,1.50816,1.36269,0.53095,0.87902,0.60192,0.3791,1.27504,1.63764,1.71976,0.0002105,0.0002105,0.0002105
86,237.007,1.19883,1.59958,1.44151,0.5293,0.89464,0.58573,0.37701,1.26342,1.63925,1.71171,0.000198125,0.000198125,0.000198125
87,239.458,1.22015,1.54596,1.4495,0.52834,0.894,0.56143,0.35801,1.27916,1.65229,1.73529,0.00018575,0.00018575,0.00018575
88,245.525,1.18277,1.46701,1.36474,0.50407,0.90179,0.55999,0.36322,1.30163,1.66061,1.76604,0.000173375,0.000173375,0.000173375
89,248.04,1.17981,1.43955,1.34443,0.51562,0.91428,0.57288,0.37068,1.31373,1.67296,1.784,0.000161,0.000161,0.000161
90,250.532,1.18347,1.46526,1.40297,0.51245,0.88151,0.60721,0.39109,1.31363,1.71258,1.80236,0.000148625,0.000148625,0.000148625
91,253.273,1.11366,1.51634,1.37265,0.50324,0.90713,0.55591,0.36027,1.31019,1.73918,1.81476,0.00013625,0.00013625,0.00013625
92,255.811,1.16224,1.5375,1.41248,0.50265,0.88036,0.57546,0.36799,1.31622,1.72969,1.84061,0.000123875,0.000123875,0.000123875
93,258.278,1.14643,1.52017,1.42869,0.507,0.88036,0.59565,0.38046,1.33108,1.6796,1.87604,0.0001115,0.0001115,0.0001115
94,260.714,1.12188,1.45591,1.40198,0.52213,0.86707,0.62354,0.40101,1.32984,1.64774,1.89083,9.9125e-05,9.9125e-05,9.9125e-05
95,263.149,1.18619,1.53176,1.4326,0.52371,0.85893,0.62093,0.39754,1.34083,1.65431,1.89703,8.675e-05,8.675e-05,8.675e-05
96,265.58,1.08538,1.42862,1.39323,0.53037,0.89164,0.60634,0.38519,1.33744,1.64808,1.89783,7.4375e-05,7.4375e-05,7.4375e-05
97,268.017,1.10461,1.48099,1.37011,0.51761,0.89598,0.5881,0.37306,1.33464,1.66278,1.89576,6.2e-05,6.2e-05,6.2e-05
98,270.473,1.08179,1.39529,1.32977,0.51312,0.90583,0.58445,0.38284,1.33045,1.69524,1.88246,4.9625e-05,4.9625e-05,4.9625e-05
99,272.885,1.11861,1.45904,1.38634,0.50664,0.92589,0.58968,0.38581,1.33217,1.7067,1.90007,3.725e-05,3.725e-05,3.725e-05
100,275.323,1.13844,1.39723,1.37576,0.5051,0.92589,0.58743,0.38685,1.3205,1.71473,1.8859,2.4875e-05,2.4875e-05,2.4875e-05
