epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.23922,0.90022,0.47059,1,1.04751,0.000463459,0.000463459,0.000463459
2,6.44274,0.42908,0.90196,1,0.27988,0.000930489,0.000930489,0.000930489
3,8.75139,0.21096,0.90196,1,0.20547,0.00138809,0.00138809,0.00138809
4,11.2086,0.20531,0.92157,1,0.15039,0.00138656,0.00138656,0.00138656
5,13.4373,0.20304,0.94118,1,0.18905,0.00137241,0.00137241,0.00137241
6,15.7389,0.14701,0.96078,1,0.0798,0.00135826,0.00135826,0.00135826
7,18.407,0.15865,0.96078,1,0.03721,0.00134412,0.00134412,0.00134412
8,20.7897,0.10775,1,1,0.01545,0.00132997,0.00132997,0.00132997
9,23.2712,0.13591,0.96078,1,0.045,0.00131582,0.00131582,0.00131582
10,25.6971,0.13277,0.96078,1,0.08805,0.00130168,0.00130168,0.00130168
11,32.4073,0.10343,0.92157,1,0.15364,0.00128753,0.00128753,0.00128753
12,35.0635,0.11487,0.94118,1,0.12212,0.00127338,0.00127338,0.00127338
13,37.3589,0.09104,0.90196,1,0.13129,0.00125923,0.00125923,0.00125923
14,39.4828,0.11386,0.98039,1,0.09805,0.00124509,0.00124509,0.00124509
15,41.6685,0.09193,0.94118,1,0.14487,0.00123094,0.00123094,0.00123094
16,43.9556,0.0869,0.98039,1,0.03354,0.00121679,0.00121679,0.00121679
17,46.2112,0.09401,0.96078,1,0.06459,0.00120265,0.00120265,0.00120265
18,48.8383,0.07878,0.90196,1,0.25293,0.0011885,0.0011885,0.0011885
19,51.3079,0.1011,0.96078,1,0.0773,0.00117435,0.00117435,0.00117435
20,53.7291,0.07116,0.98039,1,0.02236,0.00116021,0.00116021,0.00116021
21,55.9949,0.08704,1,1,0.0305,0.00114606,0.00114606,0.00114606
22,58.32,0.07426,0.98039,1,0.02452,0.00113191,0.00113191,0.00113191
23,61.7302,0.07807,1,1,0.01088,0.00111776,0.00111776,0.00111776
24,64.2306,0.03861,1,1,0.00346,0.00110362,0.00110362,0.00110362
25,66.9359,0.06246,1,1,0.00386,0.00108947,0.00108947,0.00108947
26,69.2739,0.0397,1,1,0.00425,0.00107532,0.00107532,0.00107532
27,71.4725,0.04974,1,1,0.00455,0.00106118,0.00106118,0.00106118
28,73.7,0.05795,1,1,0.00465,0.00104703,0.00104703,0.00104703
29,76.2812,0.07208,1,1,0.00563,0.00103288,0.00103288,0.00103288
30,78.7441,0.03716,1,1,0.00092,0.00101873,0.00101873,0.00101873
31,80.8316,0.09525,1,1,0.02965,0.00100459,0.00100459,0.00100459
32,83.0752,0.05822,1,1,0.00023,0.00099044,0.00099044,0.00099044
33,85.3529,0.04723,1,1,0.00082,0.000976293,0.000976293,0.000976293
34,87.7093,0.05347,1,1,0.0008,0.000962146,0.000962146,0.000962146
35,89.8475,0.09044,1,1,0.00424,0.000947999,0.000947999,0.000947999
36,92.1382,0.05241,1,1,0.0143,0.000933851,0.000933851,0.000933851
37,95.5751,0.07925,1,1,0.01926,0.000919704,0.000919704,0.000919704
38,97.722,0.04292,1,1,0.00278,0.000905557,0.000905557,0.000905557
39,99.9228,0.0504,1,1,0.00156,0.00089141,0.00089141,0.00089141
40,102.247,0.03237,1,1,0.00229,0.000877263,0.000877263,0.000877263
41,104.486,0.0353,1,1,0.00449,0.000863116,0.000863116,0.000863116
42,106.583,0.02909,1,1,0.00347,0.000848969,0.000848969,0.000848969
43,108.977,0.02376,1,1,0.00193,0.000834822,0.000834822,0.000834822
44,111.351,0.02292,1,1,0.0015,0.000820675,0.000820675,0.000820675
45,113.648,0.04073,1,1,0.00131,0.000806528,0.000806528,0.000806528
46,116.005,0.03165,1,1,0.00281,0.00079238,0.00079238,0.00079238
47,118.325,0.02231,1,1,0.01212,0.000778233,0.000778233,0.000778233
48,120.648,0.06862,1,1,0.00143,0.000764086,0.000764086,0.000764086
49,122.919,0.09751,1,1,0.00364,0.000749939,0.000749939,0.000749939
50,125.584,0.03547,1,1,0.00619,0.000735792,0.000735792,0.000735792
51,129.102,0.05054,1,1,0.00327,0.000721645,0.000721645,0.000721645
52,131.441,0.09188,1,1,0.00114,0.000707498,0.000707498,0.000707498
