epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,121.698,0.03811,1,1,0.00193,0.00035382,0.00035382,0.00035382
78,123.112,0.02358,1,1,0.00401,0.000339673,0.000339673,0.000339673
79,124.529,0.0189,1,1,0.0019,0.000325526,0.000325526,0.000325526
80,125.947,0.01974,1,1,0.00126,0.000311379,0.000311379,0.000311379
81,127.347,0.01895,1,1,0.00078,0.000297232,0.000297232,0.000297232
82,128.746,0.03236,1,1,0.00072,0.000283085,0.000283085,0.000283085
83,130.139,0.01234,1,1,0.0006,0.000268938,0.000268938,0.000268938
84,131.531,0.01811,1,1,0.00056,0.000254791,0.000254791,0.000254791
85,132.933,0.01783,1,1,0.00059,0.000240644,0.000240644,0.000240644
86,134.352,0.01134,1,1,0.00058,0.000226497,0.000226497,0.000226497
87,135.795,0.01308,1,1,0.0013,0.000212349,0.000212349,0.000212349
88,137.255,0.01464,1,1,0.00047,0.000198202,0.000198202,0.000198202
89,138.667,0.01421,1,1,0.00082,0.000184055,0.000184055,0.000184055
90,140.072,0.00544,1,1,0.00058,0.000169908,0.000169908,0.000169908
91,142.032,0.02623,1,1,0.00062,0.000155761,0.000155761,0.000155761
92,143.509,0.02276,1,1,0.00273,0.000141614,0.000141614,0.000141614
93,144.931,0.01266,1,1,0.00065,0.000127467,0.000127467,0.000127467
94,148.297,0.01592,1,1,0.00076,0.00011332,0.00011332,0.00011332
95,149.732,0.01518,1,1,0.00057,9.91726e-05,9.91726e-05,9.91726e-05
96,151.163,0.12204,1,1,0.00068,8.50255e-05,8.50255e-05,8.50255e-05
97,152.66,0.01714,1,1,0.00077,7.08784e-05,7.08784e-05,7.08784e-05
98,154.131,0.01329,1,1,0.00074,5.67313e-05,5.67313e-05,5.67313e-05
99,155.544,0.02008,1,1,0.00058,4.25842e-05,4.25842e-05,4.25842e-05
100,156.959,0.01201,1,1,0.00135,2.84371e-05,2.84371e-05,2.84371e-05
