epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.13335,0.97876,0.33333,1,0.99199,0.00020006,0.00020006,0.00020006
2,3.03014,0.69321,0.52381,1,0.83167,0.000410307,0.000410307,0.000410307
3,3.93804,0.52803,0.66667,1,0.54544,0.000616311,0.000616311,0.000616311
4,4.72497,0.33622,0.66667,1,0.60424,0.00081807,0.00081807,0.00081807
5,5.48835,0.20433,0.85714,1,0.40242,0.00101558,0.00101558,0.00101558
6,8.53861,0.15054,0.95238,1,0.10848,0.00120886,0.00120886,0.00120886
7,9.34693,0.14506,1,1,0.10349,0.00134412,0.00134412,0.00134412
8,10.1385,0.14535,0.85714,1,0.21498,0.00132997,0.00132997,0.00132997
9,10.8804,0.12375,1,1,0.0681,0.00131582,0.00131582,0.00131582
10,11.669,0.08253,1,1,0.03258,0.00130168,0.00130168,0.00130168
11,12.4014,0.1151,0.90476,1,0.17036,0.00128753,0.00128753,0.00128753
12,13.1347,0.08017,1,1,0.01627,0.00127338,0.00127338,0.00127338
13,13.865,0.04602,1,1,0.02317,0.00125923,0.00125923,0.00125923
14,14.6404,0.0639,1,1,0.01802,0.00124509,0.00124509,0.00124509
15,15.3821,0.05034,0.90476,1,0.21907,0.00123094,0.00123094,0.00123094
16,16.0924,0.09674,0.95238,1,0.1135,0.00121679,0.00121679,0.00121679
17,16.8255,0.04023,1,1,0.02609,0.00120265,0.00120265,0.00120265
18,17.5589,0.0413,1,1,0.02807,0.0011885,0.0011885,0.0011885
19,18.3106,0.02307,1,1,0.07696,0.00117435,0.00117435,0.00117435
20,19.0496,0.04393,0.90476,1,0.2517,0.00116021,0.00116021,0.00116021
21,19.8007,0.02264,0.90476,1,0.22442,0.00114606,0.00114606,0.00114606
22,20.5442,0.04745,1,1,0.02084,0.00113191,0.00113191,0.00113191
23,21.4064,0.06913,1,1,0.02382,0.00111776,0.00111776,0.00111776
24,22.235,0.05652,1,1,0.02237,0.00110362,0.00110362,0.00110362
25,23.0161,0.02981,1,1,0.04714,0.00108947,0.00108947,0.00108947
26,23.9433,0.02854,0.95238,1,0.06017,0.00107532,0.00107532,0.00107532
27,24.7565,0.05653,1,1,0.03358,0.00106118,0.00106118,0.00106118
